Project,Release,Total C/C++ files,smelly files,percentage
Vlc,vlc-3.1.7,1997,1,0.05
Vlc Average,,,,2.62870316344081
Webrtc,webrtc-v0.10.0,275,59,21.45
Webrtc,webrtc-v0.11.0,279,59,21.15
Webrtc,webrtc-v0.12.0,287,59,20.56
Webrtc,webrtc-v0.13.0,293,61,20.82
Webrtc,webrtc-v0.2.0,204,47,23.04
Webrtc,webrtc-v0.3.0,245,51,20.82
Webrtc,webrtc-v0.4.0,261,57,21.84
Webrtc,webrtc-v0.6.0,265,58,21.89
Webrtc,webrtc-v0.7.0,268,59,22.01
Webrtc,webrtc-v0.8.0,268,59,22.01
Webrtc Average,,,,21.5589368652504
Wolfcrypt,wolfcrypt-v1.0.0-stable,36,3,8.33
Wolfcrypt,wolfcrypt-v1.1.0-stable,45,3,6.67
Wolfcrypt,wolfcrypt-v1.2.0-stable,47,3,6.38
Wolfcrypt,wolfcrypt-v1.3.0-stable,47,3,6.38
Wolfcrypt,wolfcrypt-v1.5.0-stable,47,3,6.38
Wolfcrypt,wolfcrypt-v1.6.0-stable,54,3,5.56
Wolfcrypt,wolfcrypt-v1.7.0-stable,56,3,5.36
Wolfcrypt Average,,,,6.43737636898731
Wolfssl,wolfssl-v1.11.0-stable,20,6,30
Wolfssl,wolfssl-v1.12.0-stable,20,6,30
Wolfssl,wolfssl-v1.12.2,20,6,30
Wolfssl,wolfssl-v1.13.0-stable,24,7,29.17
Wolfssl,wolfssl-v1.14.0-stable,24,7,29.17
Wolfssl,wolfssl-v1.4.0-stable,13,4,30.77
Wolfssl,wolfssl-v1.5.0-stable,17,6,35.29
Wolfssl,wolfssl-v1.6.0-stable,19,6,31.58
Wolfssl,wolfssl-v1.8.0-stable,19,6,31.58
Wolfssl,wolfssl-v1.9.0-stable,19,6,31.58
Wolfssl Average,,,,30.9133523854886
Zstd-jni,zstd-jni-v0.4.4,20,0,0
Zstd-jni,zstd-jni-v1.3.0-1,48,0,0
Zstd-jni,zstd-jni-v1.3.2-2,59,0,0
Zstd-jni,zstd-jni-v1.3.3-1,60,0,0
Zstd-jni,zstd-jni-v1.3.4-1,63,0,0
Zstd-jni,zstd-jni-v1.3.4-8,63,0,0
Zstd-jni,zstd-jni-v1.3.5-3,67,0,0
Zstd-jni,zstd-jni-v1.3.7-1,69,0,0
Zstd-jni,zstd-jni-v1.3.8-1,74,0,0
Zstd-jni,zstd-jni-v1.4.0-1,73,0,0
Zstd-jni,zstd-jni-v1.4.2-1,77,0,0
Zstd-jni Average,,,,0
Grand Average,,,,14.1535502389079
