Variable,Coefficient,p-value,Odds Ratio
Intercept,0.0043292841679900655,0.97825602710391,1.004
C(project)[T.java-smt-_all],0.12580907645791392,0.5575322400633873,1.134
C(project)[T.javacpp-_all],0.047563533106813875,0.8944069728791448,1.049
C(project)[T.jni-bind-release-_all],-0.7461507721055176,0.0024197024666973467,0.474
C(project)[T.jpype-v_all],-113.27514382656848,1.0,0.0
C(project)[T.monero-java-v_all],-2.2015538615042094,0.03889835495086028,0.111
C(project)[T.pljava-_all],-1.5967405002626138,6.534793942558295e-17,0.203
C(project)[T.realm-java-v_all],-0.364342361995668,0.0961430999990289,0.695
C(project)[T.rocksdb-v_all],-0.74187652212516,0.00017732119929138974,0.476
C(project)[T.sqlite-_all],-2.775704178378393,7.312465963125443e-10,0.062
C(project)[T.vlc-_all],-1.178013663627922,1.0688893588226399e-06,0.308
C(project)[T.webrtc-v_all],-2.118560076762141,4.666665960786915e-27,0.12
C(project)[T.wolfcrypt-v_all],0.28527988508013613,0.3247223570510801,1.33
C(project)[T.wolfssl-v_all],1.2741033755662954,1.178847927159595e-06,3.575
C(project)[T.zstd-jni-v_all],-0.4263157706401078,0.14015728592781887,0.653
LanguageEnvy,0.152619131698364,0.0007712016077101776,1.165
CrossRespDecl,0.24184568049020755,3.0419823005990856e-08,1.274
ShotgunSurgery,0.28398284885098274,6.761277836549244e-09,1.328
EncapsulationBypass,0.09838931890085534,0.05654821488306124,1.103
